,id,listing_url,name,host_id,latitude,longitude,property_type,room_type,price,accommodates,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,SuperHost,bedrooms_n,beds_n,baths_n
75,24041,https://www.airbnb.com/rooms/24041,Bungalow in Redondo Beach · ★4.70 · 1 bedroom · 1 bed · 1 bath,39253,33.83889,-118.38537,Entire bungalow,Entire home/apt,$185.00,2,4.7,4.78,4.62,4.87,4.89,4.89,4.72,Yes,1,1,1.0
76,67792,https://www.airbnb.com/rooms/67792,Bungalow in West Hollywood · ★4.97 · 3 bedrooms · 3 beds · 3 baths,334952,34.08187,-118.38965,Entire bungalow,Entire home/apt,$550.00,6,4.97,5.0,4.93,5.0,5.0,4.97,4.72,Yes,3,3,3.0
77,69838,https://www.airbnb.com/rooms/69838,Home in Los Angeles · ★4.79 · 1 bedroom · 2 beds · 1 private bath,351521,34.03833,-118.33662,Private room in home,Private room,$124.00,4,4.79,4.81,4.66,4.93,4.89,4.77,4.79,No,1,2,1.0
78,210855,https://www.airbnb.com/rooms/210855,Condo in Santa Monica · ★4.53 · 1 bedroom · 1 bed · 1 private bath,1032538,34.02447,-118.48942,Private room in condo,Private room,$79.00,1,4.53,4.61,4.37,4.75,4.74,4.81,4.59,No,1,1,1.0
79,72186,https://www.airbnb.com/rooms/72186,Home in Los Angeles · ★4.89 · 1 bedroom · 1 bed · 1.5 shared baths,230943,34.04236,-118.30637,Private room in home,Private room,$47.00,2,4.89,4.93,4.7,4.96,4.98,4.79,4.91,No,1,1,1.0
80,24349,https://www.airbnb.com/rooms/24349,Home in Los Angeles · ★4.98 · 2 bedrooms · 2 beds · 1 bath,98565,34.10942,-118.22003,Entire home,Entire home/apt,$388.00,5,4.98,4.93,4.91,4.98,5.0,4.97,4.9,Yes,2,2,1.0
81,74770,https://www.airbnb.com/rooms/74770,Guesthouse in Encino · ★4.90 · Studio · 2 beds · 1 bath,394279,34.18177,-118.52621,Entire guesthouse,Entire home/apt,$119.00,2,4.9,4.95,4.98,4.92,4.94,4.87,4.87,Yes,Studio,2,1.0
82,212140,https://www.airbnb.com/rooms/212140,Rental unit in Los Angeles · ★4.91 · 2 bedrooms · 3 beds · 1 bath,50231247,34.09395,-118.27673,Entire rental unit,Entire home/apt,$180.00,6,4.91,4.95,4.89,4.98,4.95,4.96,4.8,Yes,2,3,1.0
83,75212,https://www.airbnb.com/rooms/75212,Townhouse in Lakewood · ★4.82 · 1 bedroom · 1 bed · 1 shared bath,343761,33.8465,-118.08244,Private room in townhouse,Private room,$65.00,2,4.82,4.91,4.9,4.94,4.96,4.88,4.81,No,1,1,1.0
84,24626,https://www.airbnb.com/rooms/24626,Townhouse in Los Angeles · ★4.81 · 3 bedrooms · 3 beds · 2.5 baths,100027,34.03953,-118.45341,Entire townhouse,Entire home/apt,$310.00,6,4.81,4.88,4.63,4.94,4.94,4.88,4.63,No,3,3,2.0
85,212142,https://www.airbnb.com/rooms/212142,Rental unit in Los Angeles · ★4.91 · 1 bedroom · 2 beds · 1 bath,50231247,34.09419,-118.27871,Entire rental unit,Entire home/apt,$150.00,4,4.91,4.91,4.85,4.94,4.91,4.88,4.68,Yes,1,2,1.0
86,26082,https://www.airbnb.com/rooms/26082,Home in Woodland Hills · ★4.71 · 1 bedroom · 1 bed · 1 shared bath,11619,34.1674,-118.64293,Private room in home,Private room,$89.00,2,4.71,4.84,4.6,4.88,4.68,4.84,4.88,No,1,1,1.0
87,30470,https://www.airbnb.com/rooms/30470,Place to stay in Culver City · ★4.78 · 1 bedroom · 1 bed · 1 shared bath,105868,34.02496,-118.38513,Private room,Private room,$160.00,1,4.78,4.78,4.96,4.96,4.91,4.96,4.7,No,1,1,1.0
88,76561,https://www.airbnb.com/rooms/76561,Guesthouse in Los Angeles · ★4.82 · Studio · 3 beds · 1 bath,403838,33.98522,-118.3616,Entire guesthouse,Entire home/apt,$140.00,4,4.82,4.83,4.66,4.95,4.93,4.66,4.77,Yes,Studio,3,1.0
89,214533,https://www.airbnb.com/rooms/214533,Rental unit in Los Angeles · ★5.0 · 1 bedroom · 1 bed · 1 bath,1036375,34.09624,-118.34656,Entire rental unit,Entire home/apt,$105.00,2,5.0,5.0,4.67,5.0,5.0,5.0,4.67,No,1,1,1.0
90,79502,https://www.airbnb.com/rooms/79502,Bungalow in Los Angeles · ★4.82 · 1 bedroom · 1 bed · 1 bath,428171,34.08285903930664,-118.27875518798828,Entire bungalow,Entire home/apt,$120.00,2,4.82,4.85,4.89,4.95,4.88,4.93,4.73,Yes,1,1,1.0
91,32963,https://www.airbnb.com/rooms/32963,Home in Culver City · ★4.92 · 2 bedrooms · 2 beds · 1 bath,142776,33.99327,-118.44407,Entire home,Entire home/apt,$192.00,3,4.92,4.95,4.92,4.98,4.98,4.91,4.79,Yes,2,2,1.0
92,215161,https://www.airbnb.com/rooms/215161,Bungalow in Marina del Rey · ★4.91 · 1 bedroom · 1 bed · 1 bath,1111042,33.97713,-118.46279,Entire bungalow,Entire home/apt,$204.00,2,4.91,4.95,4.9,4.92,4.93,4.92,4.81,Yes,1,1,1.0
93,33447,https://www.airbnb.com/rooms/33447,Guesthouse in Malibu · ★4.95 · 1 bedroom · 1 bed · 1 bath,144837,34.01451,-118.8064,Entire guesthouse,Entire home/apt,$188.00,2,4.95,4.92,4.93,4.98,4.97,4.96,4.93,No,1,1,1.0
94,79832,https://www.airbnb.com/rooms/79832,Home in Los Angeles · ★4.90 · 1 bedroom · 1 bed,28569,34.12801,-118.31919,Entire home,Entire home/apt,$110.00,2,4.9,4.89,4.77,4.96,4.95,4.93,4.91,No,1,1,Unknown
95,217666,https://www.airbnb.com/rooms/217666,Rental unit in Los Angeles · ★4.84 · 1 bedroom · 2 beds · 1 bath,799408,34.0768,-118.35301,Entire rental unit,Entire home/apt,$71.00,2,4.84,4.82,4.73,4.86,4.82,4.95,4.86,Yes,1,2,1
96,38365,https://www.airbnb.com/rooms/38365,Home in Los Angeles · ★5.0 · 1 bedroom · 1 bed · 1.5 baths,3415,34.10788,-118.37879,Private room in home,Private room,$62.00,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,No,1,1,1
97,217971,https://www.airbnb.com/rooms/217971,Home in Santa Monica · ★4.94 · 1 bedroom · 3 beds · 1 bath,1126652,34.02886,-118.51392,Entire home,Entire home/apt,$218.00,5,4.94,4.95,4.92,5.0,4.98,4.97,4.85,Yes,1,3,1
98,80714,https://www.airbnb.com/rooms/80714,Rental unit in Los Angeles · ★4.95 · 1 bedroom · 3 beds · 1 bath,436647,34.05798,-118.35541,Entire rental unit,Entire home/apt,$119.00,1,4.95,4.93,4.96,4.97,4.98,4.95,4.88,No,1,3,1
99,221502,https://www.airbnb.com/rooms/221502,Rental unit in Los Angeles · ★4.88 · 1 bedroom · 2 beds · 1.5 baths,1149254,34.06581,-118.29441,Private room in rental unit,Private room,$62.00,3,4.88,4.9,4.55,4.93,4.69,4.62,4.79,No,1,2,1
