GEO_ID,NAME,P1_001N,P1_001NA
Geography,Geographic Area Name, !!Total,Annotation of  !!Total
860Z200US92332,ZCTA5 92332,97,null
860Z200US92333,ZCTA5 92333,510,null
860Z200US92335,ZCTA5 92335,96605,null
860Z200US92336,ZCTA5 92336,100594,null
860Z200US92337,ZCTA5 92337,36394,null
860Z200US92338,ZCTA5 92338,0,null
860Z200US92339,ZCTA5 92339,1053,null
860Z200US92341,ZCTA5 92341,458,null
860Z200US92342,ZCTA5 92342,6955,null
860Z200US92344,ZCTA5 92344,23166,null
860Z200US92345,ZCTA5 92345,86499,null
860Z200US92346,ZCTA5 92346,57812,null
860Z200US92347,ZCTA5 92347,888,null
860Z200US92350,ZCTA5 92350,258,null
860Z200US92352,ZCTA5 92352,7038,null
860Z200US92354,ZCTA5 92354,22626,null
860Z200US92356,ZCTA5 92356,6050,null
860Z200US92358,ZCTA5 92358,834,null
860Z200US92359,ZCTA5 92359,8900,null
860Z200US92363,ZCTA5 92363,5634,null
860Z200US92364,ZCTA5 92364,40,null
860Z200US92365,ZCTA5 92365,2214,null
860Z200US92368,ZCTA5 92368,858,null
860Z200US92369,ZCTA5 92369,1481,null
860Z200US92371,ZCTA5 92371,16345,null
860Z200US92372,ZCTA5 92372,5594,null
860Z200US92373,ZCTA5 92373,35348,null
860Z200US92374,ZCTA5 92374,43587,null
860Z200US92376,ZCTA5 92376,84548,null
860Z200US92377,ZCTA5 92377,20734,null
860Z200US92378,ZCTA5 92378,677,null
860Z200US92382,ZCTA5 92382,5721,null
860Z200US92384,ZCTA5 92384,24,null
860Z200US92385,ZCTA5 92385,221,null
860Z200US92386,ZCTA5 92386,2477,null
860Z200US92389,ZCTA5 92389,123,null
860Z200US92391,ZCTA5 92391,2239,null
860Z200US92392,ZCTA5 92392,62294,null
860Z200US92394,ZCTA5 92394,41057,null
860Z200US92395,ZCTA5 92395,47556,null
860Z200US92397,ZCTA5 92397,5485,null
860Z200US92398,ZCTA5 92398,1234,null
860Z200US92399,ZCTA5 92399,55794,null
860Z200US92401,ZCTA5 92401,2016,null
860Z200US92404,ZCTA5 92404,64270,null
860Z200US92405,ZCTA5 92405,32165,null
860Z200US92407,ZCTA5 92407,67814,null
860Z200US92408,ZCTA5 92408,13488,null
860Z200US92410,ZCTA5 92410,51651,null
860Z200US92411,ZCTA5 92411,27014,null
860Z200US92415,ZCTA5 92415,2,null
860Z200US92501,ZCTA5 92501,22017,null
860Z200US92503,ZCTA5 92503,90011,null
860Z200US92504,ZCTA5 92504,54642,null
860Z200US92505,ZCTA5 92505,50919,null
860Z200US92506,ZCTA5 92506,45185,null
860Z200US92507,ZCTA5 92507,63191,null
860Z200US92508,ZCTA5 92508,35415,null
860Z200US92509,ZCTA5 92509,78166,null
860Z200US92518,ZCTA5 92518,806,null
860Z200US92521,ZCTA5 92521,40,null
860Z200US92530,ZCTA5 92530,59098,null
860Z200US92532,ZCTA5 92532,27560,null
860Z200US92536,ZCTA5 92536,3737,null
860Z200US92539,ZCTA5 92539,4966,null
860Z200US92543,ZCTA5 92543,39323,null
860Z200US92544,ZCTA5 92544,50007,null
860Z200US92545,ZCTA5 92545,44072,null
860Z200US92548,ZCTA5 92548,7408,null
860Z200US92549,ZCTA5 92549,4234,null
860Z200US92551,ZCTA5 92551,34294,null
860Z200US92553,ZCTA5 92553,76761,null
860Z200US92555,ZCTA5 92555,43580,null
860Z200US92557,ZCTA5 92557,54549,null
860Z200US92561,ZCTA5 92561,1648,null
860Z200US92562,ZCTA5 92562,64270,null
860Z200US92563,ZCTA5 92563,73224,null
860Z200US92567,ZCTA5 92567,9729,null
860Z200US92570,ZCTA5 92570,59015,null
860Z200US92571,ZCTA5 92571,59450,null
860Z200US92582,ZCTA5 92582,21161,null
860Z200US92583,ZCTA5 92583,34674,null
860Z200US92584,ZCTA5 92584,55517,null
860Z200US92585,ZCTA5 92585,24887,null
860Z200US92586,ZCTA5 92586,22188,null
860Z200US92587,ZCTA5 92587,17529,null
860Z200US92590,ZCTA5 92590,4840,null
860Z200US92591,ZCTA5 92591,42021,null
860Z200US92592,ZCTA5 92592,79740,null
860Z200US92595,ZCTA5 92595,34405,null
860Z200US92596,ZCTA5 92596,31081,null
860Z200US92602,ZCTA5 92602,29581,null
860Z200US92603,ZCTA5 92603,20137,null
860Z200US92604,ZCTA5 92604,27151,null
860Z200US92606,ZCTA5 92606,23383,null
860Z200US92610,ZCTA5 92610,12545,null
860Z200US92612,ZCTA5 92612,31822,null
860Z200US92614,ZCTA5 92614,28456,null
860Z200US92617,ZCTA5 92617,25232,null
860Z200US92618,ZCTA5 92618,57488,null
860Z200US92620,ZCTA5 92620,64424,null
860Z200US92624,ZCTA5 92624,7170,null
