,ZIP,Crime_Type,Crime_Count,Population,Crime_Rate
297,91365,personal,62,0.0,1.0
298,91365,property,119,0.0,1.0
299,91367,personal,386,46498.0,0.008301432319669663
300,91367,property,1161,46498.0,0.024968815863047875
301,91371,personal,97,14.0,6.928571428571429
302,91371,property,190,14.0,13.571428571428571
303,91401,personal,660,39621.0,0.016657832967365793
304,91401,property,1373,39621.0,0.034653340400292776
305,91402,personal,1054,70140.0,0.015027088679783291
306,91402,property,1549,70140.0,0.02208440262332478
307,91403,personal,271,25329.0,0.010699198547119902
308,91403,property,898,25329.0,0.03545343282403569
309,91405,personal,737,55319.0,0.01332272817657586
310,91405,property,1227,55319.0,0.022180444331965508
311,91406,personal,995,53252.0,0.018684744234958313
312,91406,property,1524,53252.0,0.02861864343123263
313,91411,personal,553,24984.0,0.02213416586615434
314,91411,property,1025,24984.0,0.04102625680435479
315,91423,personal,271,32635.0,0.008303968132373218
316,91423,property,1000,32635.0,0.030641948827945457
317,91436,personal,119,15189.0,0.007834617157153202
318,91436,property,407,15189.0,0.026795707419843308
319,91504,personal,17,26678.0,0.0006372291775995202
320,91504,property,50,26678.0,0.0018742034635280006
321,91505,personal,12,32371.0,0.00037070217169688917
322,91505,property,26,32371.0,0.0008031880386765932
323,91506,personal,6,19338.0,0.00031026993484331366
324,91506,property,7,19338.0,0.00036198159065053265
325,91515,personal,24,0.0,1.0
326,91515,property,38,0.0,1.0
327,91522,personal,32,0.0,1.0
328,91522,property,61,0.0,1.0
329,91601,personal,791,39429.0,0.020061376144462198
330,91601,property,1457,39429.0,0.036952496893149715
331,91602,personal,239,19647.0,0.012164707079961317
332,91602,property,689,19647.0,0.0350689672723571
333,91604,personal,375,30947.0,0.012117491194623065
334,91604,property,1218,30947.0,0.03935761140013572
335,91605,personal,924,54341.0,0.017003735669200052
336,91605,property,1580,54341.0,0.029075651901878875
337,91606,personal,726,43955.0,0.01651689227619156
338,91606,property,1232,43955.0,0.02802866568080992
339,91607,personal,285,30502.0,0.009343649596747754
340,91607,property,762,30502.0,0.024981968395515048
341,91608,personal,56,37.0,1.5135135135135136
342,91608,property,130,37.0,3.5135135135135136
