,listing_id,id,date,reviewer_id,reviewer_name,comments,Year
729081,22215734,262423867,2018-05-08,110897980,Lucy,"We had a lovely one night stay at Isaac's before catching our flight. Everything was perfect, especially the comfortable bed, fab bathroom and all the little extras that made our stay extra special. Thank you!",2018.0
729082,22215734,262695103,2018-05-09,110596538,Robert,"Isaac was a great host and provide the accommodation we required for one night. Close to LAX, clean ,comfortable and  secure. He was kind enough to allow us to leave luggage there after checkout and collect  later on our way to airport.<br/>I would use again.<br/>Many thanks",2018.0
729083,22215734,263685045,2018-05-12,110353664,Monika,Awesome and cozy,2018.0
729084,22215734,264384704,2018-05-13,66063536,Kyle,"A perfect place that is conveniently located nearby to LAX! Great communication with easy to understand instructions. The space itself was perfect - clean, practical, and comfortable.",2018.0
729095,22215734,265334057,2018-05-16,115533270,Max,Super frindly host. Best location if you wanna catch a flight( with rentel car places und lax in 8min reach).<br/>The room was clean and fresh. <br/>Would fully recomend the room,2018.0
729096,22215734,265928804,2018-05-18,137289426,Hannes,"This is a clean, safe and secluded space. Although close to LAX the airport noice was not audible.",2018.0
729097,22215734,266258490,2018-05-19,110476338,Jane,"As it happened I had sprained my ankle a day before arriving at Isaac’s place. His place was just perfect as I spent a day or so staying off my feet and keeping my ankle elevated. The space is compact but well equipped and everything I needed was in easy reach, and there was a spacious and extremely clean bathroom. I liked feeling secure with the locked gate and door. Isaac responded with lightning speed when we had trouble with the TV (it just needed a reset). WiFi was great. Leaving, my trip to LAX was just 10 minutes. Thank you to Isaac.",2018.0
729098,22215734,266858391,2018-05-20,57264239,Alicia,Perfect for my late night arrival into LAX. Super clean and stylish. On my list to return.,2018.0
729099,22215734,267495081,2018-05-21,105833993,Joe,Spacious room. Great decor. Super cozy. Easy and straight forward instructions.,2018.0
729100,22215734,268042572,2018-05-23,164666213,Eric,"Nice room Very clean, super convenient to the airport maybe five minute drive",2018.0
729101,22215734,268326636,2018-05-24,169921803,Marjolein,"Geweldige kamer op super locatie, binnen 10 min op LAX airport. Communicatie met verhuurder top!",2018.0
729103,22215734,268709161,2018-05-25,10241042,Vincent,"Isaac's place is clean, quiet, private, and close to the airport. It's a great value! We were extremely jet-lagged and enjoyed the big TV.",2018.0
729104,22215734,269073570,2018-05-26,35308739,Ashley,"Great stay! Location was great.. Room was super clean and fresh. Amenties provided were great-- especially the fridge with complimentary drinks! Bed was comfortable, bathroom was nice and closet was spacious. TV was large and has Netflix and Amazon.<br/>There was a mix up with his cleaning crew and they came in the room as I was changing my clothes... wasn't my favorite part of the trip... but he was super apologetic for the mix up and was overall a really nice guy. ",2018.0
729105,22215734,269683894,2018-05-27,54555215,Jocelyn,"Isaac’s place was perfect for us. We only stayed a night, but loved coming back to the suite to find a comfy bed, huge TV with Netflix and Amazon, a fridge with a variety of waters and a coffee machine! Thanks Isaac!",2018.0
729106,22215734,270609145,2018-05-29,117609989,C. Lee,The space was as pictured. The Decor was very tasteful. Quiet area with sufficient street parking. Our Host was easy to reach and extremely accommodating.,2018.0
729107,22215734,270917169,2018-05-30,168787896,Juliana,"Es un apartamento muy bonito a tan solo 10 minutos del aeropuerto en un barrio residencial, isaac respondió rápido a todas nuestras dudas. ",2018.0
729108,22215734,271216559,2018-05-31,145223929,Melissa,"Wonderful place to stay.  Description accurate - room and bathroom very clean and stylish.  Amenities nice, organized nicely and everything was in excellent order.  I would highly recommend and plan on staying here again.",2018.0
729109,22215734,271553447,2018-06-01,54560583,Taryn,"Isaac's place was great. It was clean and had everything we needed. The bed was super comfy. The icing on the cake was that it was 5 minutes to the airport. Great for checking in if you're taking an early flight. <br/>The mini fridge, coffee maker, and iron was a big plus.",2018.0
729110,22215734,271947906,2018-06-02,26780507,Elise,the suite is super clean and nicely decorated. it has everything you need and is very close to the airport but still in a nice neighborhood. the communication with isaac was very clear ,2018.0
729111,22215734,273051492,2018-06-04,102318996,Victoria,"Location is perfect! A safe & secure location that is close to LAX, beaches, Hollywood, etc. Instructions for self check-in are clear and easy. The details in the room (reading lights, charging stations, microwave, fridge, beverages) add comfort and convenience. Everything was also kept very clean. Isaac was a great host & I highly recommend his place to anyone!",2018.0
729112,22215734,273623888,2018-06-06,69372489,Jack,The place is very neat and comfortable.,2018.0
729113,22215734,273936831,2018-06-07,185238538,Vanessa,"El alojamiento está perfectamente ubicado si estás de pasada por Los Angeles, ya que queda a unas cuadras del aeropuerto. Muy linda y limpia la habitación. Las indicaciones de Isaac para encontrar el apartamento hicieron fácil de encontrarlo. ",2018.0
729114,22215734,274657388,2018-06-09,130194491,April,"Isaac’s guest suite is top-of-the-line in location to LAX, comfort and convenient. Check-in and out was easy and the bed was very comfortable. The room is decorated very nicely and the towels were super soft! Will definitely tell all my friends about Isaac’s guest suite!",2018.0
729115,22215734,275350213,2018-06-10,104325999,Kevin,"Nice and very clean place, easy to find and check-in.<br/>will stay here again.",2018.0
729116,22215734,275748062,2018-06-11,158084817,Jennifer,"I highly recommend this setting. Completely private, right next to the airport, quiet, and comfy!",2018.0
729117,22215734,276122532,2018-06-12,35098854,Aaron,"Really awesome place, in a quiet neighborhood that’s extremely close to the airport. 100% recommend anyone to stay here. Hospitality is outstanding Abe home is extremely comfortable and cozy. 5 stars ",2018.0
729125,22215734,277190638,2018-06-15,54287687,Jonathan,"Very clean, convenient location, great stay!",2018.0
729130,22215734,277608141,2018-06-16,21352340,Icaro,"This place is awesome! Very clean, organized and close to the airport. Issac was a great host and the communication couldn't be better. Thank you!",2018.0
729137,22215734,278308209,2018-06-17,151311514,Samantha,Perfect little spot for quick visits. We went to a music festival in Long Beach and it was a great location to crash. Simple & stylish!,2018.0
729138,22215734,278776663,2018-06-18,53065960,Siobhan,"Really cute spot, sparkling clean and easy check in and check out! Would highly recommend! ",2018.0
729139,22215734,279124282,2018-06-19,58900781,Jennifer,"Very clean and perfect! The room has all the necessary amenities, check in/out was very easy, and the host responded very quickly to every message. Thank you for accommodating my early arrival! ",2018.0
729140,22215734,279476745,2018-06-20,143851194,Gabby,Very comfy bed! So modern and easy!,2018.0
729141,22215734,279835689,2018-06-21,66407968,Breanna,Wonderful place! Definitely staying here again when I make another trip to LA!,2018.0
